app,question,answer
0,How do I make a purchase?,<p>1. Select the product from the product page&nbsp;<br>2. Click Add to Cart&nbsp;<br>3. Scan prescription or Enter QR Code if prompted &nbsp;<br>4. Review order and Proceed to Checkout&nbsp;<br>5. Review receiver’s address and info&nbsp;<br>6. Select Shipping Method&nbsp;<br>7. Select Payment Method&nbsp;<br>8. Review all the details and Place Order.&nbsp;<br><br>You will be notified about the status of your order in the app.</p>
1,How can I check my patients health status?,"<p>How to check my patients status?</p><ol><li>Click patients tab</li><li>On the upper right corner, click the menu and you will see ""My Patients Health""</li><li>You have now an access to the healing process of your patients</li></ol>"
1,How to know my QR Code?,"<p>How to know your QR Code?</p><ol><li>In the homepage, click the Profile button on the upper left side of the screen.</li><li>You will see all your uploaded personal data</li><li>Check below ""View QR Code""</li><li>You can now share your QR code to your patients</li></ol>"
1,How to get the full version of articles?,"<p>How to get the full version of articles?</p><ol><li>Go to Articles tab menu</li><li>Select specific Articles that you want to download</li><li>At the bottom, click ""Request Full Version""</li><li>Check your personal email and have it downloaded</li></ol>"
0,What if I want to cancel my order?,"<p>You may Cancel your order by chatting with us. The chat button can be found on the lower right &nbsp;portion of the screen. However, please note that this feature is only available if your order has not yet been processed and is still at the """"Pending"""" phase.&nbsp;<br><br>Unfortunately, if the order/s have already been processed, we are unable to cancel them (this also means that invoices are also final and cannot be edited anymore).&nbsp;<br>&nbsp;</p>"
0,What are your modes of payment?,"<p>TrinityHealth have partnered with Paygate to offer high-level of security in payment processing. We offer multiple payment options for your convenience. You may choose to pay online using you credit or debit card or via Paypal, Over the counter, bank deposits, Gcash, 7-11 and through other payment transfer options. We also offer COD or Cash-on-Delivery for orders within Metro Manila!</p>"
0,How to pay through Online Transfer or Over The Counter?,"<p>During Checkout, select the Bank Deposit option. You will receive an invoice email with instructions and the details you need to complete your purchase. &nbsp;<br>After paying at your chosen bank, take a clear photo of your proof of payment and attach on the space provided.&nbsp;<br>Once we’ve received a clear copy of your proof of payment, we will review and validate your payment 1-2 business days (excluding weekends and holidays). You will be notified that your order has been Confirmed once our team had verified that your payment was successful.</p>"
0,How does Cash-on-Delivery (COD) work?,"<p>We offer Cash-on-Delivery (COD) for orders within Metro Manila.&nbsp;<br><br>During Checkout, select the Cash-on-Delivery (COD) option. You will then receive your Cash-on-Delivery invoice through email, which will have payment instructions and reminders.&nbsp;<br><br>Upon delivery, you will be given a Delivery Receipt and an Acknowledgement Form. The Delivery Receipt lists the items you purchased and the Acknowledgment Form documents your payment details, which you will be asked to sign.&nbsp;<br><br>Once the payment has been received and our staff handed you the goods, this means that your order has been completed.&nbsp;<br><br>All delivered orders are considered sold. We do not process any returns, exchanges and refunds due to the nature of our products. As such, we kindly expect to receive your payment, before we give you your order.</p>"
0,Did my payment go through?,"<p>If your payment successfully went through, you should have received an Order Acknowledgement on your registered email address. If none, you might want to check your spam folder.&nbsp;<br><br>If you didn’t get an Acknowledgement email, chances are your payment did not go through successfully. Contact us and we’ll help you sort it out.</p>"
0,How to update my password?,"<p>1. Launch the TrinityCare mobile app&nbsp;<br>2. Go to the Profile page by clicking your picture on the upper left hand corner of the scrren. &nbsp;<br>3. Go to Security tab&nbsp;<br>4. Type your old password followed by your desire new password. Retype to confirm.&nbsp;<br>5. Click ""Save""</p>"
0,How can I retrieve my old password? / I forgot my old password,<p>Email us or chat with us and we'll help you reset your password</p>
