specialization_id,brand_name,name,sku,product_size,image_path,prescriptionable,is_other_brand,price,client_points,doctor_points,ingredients,nutritional_facts,directions,description,is_free_product,
2,Amoxicillin,Amoxicillin,TRNTY-00001,500mg,public/product-images-uat/75wMzJpskTbOhqfoc7Gd0r1gccU5z4dVUT3nC98W.png,1,1,5,10,0,"<p>Each capsule contains either 250 mg or 500 mg of Amoxicillin as Amoxicillin trihydrate. The capsules also contain the following inactive ingredients: magnesium stearate, maize starch, gelatin, erythrosin (E127), quinoline yellow (E104), titanium dioxide (E171), red iron oxide (E172).</p>",<p>There are 0 calories in a 500 mg serving of Generic Amoxicillin.</p>,"<p>Amoxicillin comes as a capsule, a tablet, a chewable tablet, and as a suspension (liquid) to take by mouth. It is usually taken every 12 hours (twice a day) or every 8 hours (three times a day) with or without food. The length of your treatment depends on the type of infection that you have.</p>","<p>Amoxicillin is a penicillin antibiotic that fights bacteria. Amoxicillin is used to treat many different types of infection caused by bacteria, such as tonsillitis, bronchitis, pneumonia, gonorrhea, and infections of the ear, nose, throat, skin, or urinary tract.</p>",1,
7,Metoprolol,Metoprolol,TRNTY-00002,50mg,public/product-images-uat/lbpb6Q83XDPuWATx39AVsqQssb8HT0ng5aMEy7aK.png,0,0,300,30,5,"<p>Each tablet for oral administration contains 25 mg, 50 mg or 100 mg of metoprolol tartrate USP and the following inactive ingredients: colloidal silicon dioxide, croscarmellose sodium, hypromellose, lactose anhydrous, magnesium stearate, microcrystalline cellulose, sodium starch glycolate, polyethylene glycol, pregelatinized starch, titanium dioxide. In addition the 25 mg and 100 mg tablet contain propylene glycol and sodium lauryl sulfate; the 50 mg tablet contains D&amp;C Red #30 and talc.</p>",<p>/-</p>,"<p>Metoprolol should be taken with a meal or just after a meal. Take the medicine at the same time each day. Swallow the capsule whole and do not crush, chew, break, or open it. A Toprol XL tablet can be divided in half if your doctor has told you to do so.</p>","<p>Metoprolol is also used to treat severe chest pain (angina) and lowers the risk of repeated heart attacks. ... In addition, metoprolol is used to treat patients with heart failure. This medicine is a beta-blocker. It works by affecting the response to nerve impulses in certain parts of the body, like the heart.</p>",0,
1,Phenytoin,Phenytoin,TRNTY-00003,22mg,public/product-images-uat/29ABFJoSBU1qLEOnJ5bEXcBONidNVdVzu57N9yLg.png,0,1,300,3,3,"<p>Active ingredient: 100 mg phenytoin sodium Inactive ingredients: lactose monohydrate, confectioner's sugar, talc, and magnesium stearate. The capsule body contains titanium dioxide and gelatin. The capsule cap contains FD&amp;C red No. 28, FD&amp;C yellow No. 6, and gelatin. Dilantin 30mg: Each capsule contains a white powder.</p>","<p>IV bolus Adult Not to exceed 50 mg/min. Administer directly into a large vein through a large gauge catheter &amp; flush catheter w/ sterile saline prior to administration &amp; following each inj. IV infusion Dilute to a final conc not exceeding 10 mg/mL &amp; administer immediately. Adult Not to exceed 50 mg/min. Childn &amp; neonate 1-3 mg/kg/min or 50 mg/min, whichever is slower. Status epilepticus Adult Loading dose: 10-15 mg/kg slow IV, at a rate not exceeding 50 mg/min. Maintenance: 100 mg PO/IV every 6-8 hr. Childn &amp; neonate Loading dose: 15-20 mg/kg slow IV, at a rate not exceeding 1-3 mg/kg/min or 50 mg/min, whichever is slower. Neurosurgery Prophylactic dose: 100-200 mg (2-4 mL) IM at approx 4-hr intervals during surgery &amp; post-op.</p>","<p>IV bolus Adult Not to exceed 50 mg/min. Administer directly into a large vein through a large gauge catheter &amp; flush catheter w/ sterile saline prior to administration &amp; following each inj. IV infusion Dilute to a final conc not exceeding 10 mg/mL &amp; administer immediately. Adult Not to exceed 50 mg/min. Childn &amp; neonate 1-3 mg/kg/min or 50 mg/min, whichever is slower. Status epilepticus Adult Loading dose: 10-15 mg/kg slow IV, at a rate not exceeding 50 mg/min. Maintenance: 100 mg PO/IV every 6-8 hr. Childn &amp; neonate Loading dose: 15-20 mg/kg slow IV, at a rate not exceeding 1-3 mg/kg/min or 50 mg/min, whichever is slower. Neurosurgery Prophylactic dose: 100-200 mg (2-4 mL) IM at approx 4-hr intervals during surgery &amp; post-op.</p>","<p>Phenytoin is an anti-epileptic drug, also called an anticonvulsant. Phenytoin works by slowing down impulses in the brain that cause seizures. Phenytoin is used to control seizures. It does not treat all types of seizures, and your doctor will determine if it is the right medicine for you</p>",1,
19,Cotellic,Cotellic,TRNTY-00004,22mg,public/product-images-uat/Zw6CLoNUIfyQ8fgnRQR9N4RDRcAAV6ud0BDXBjWz.png,1,1,500,4,4,"Each 20 mg tablet contains 22 mg of cobimetinib fumarate, which corresponds to 20 mg of the cobimetinib free base. The inactive ingredients of COTELLIC are: Tablet Core: microcrystalline cellulose, lactose monohydrate, croscarmellose sodium, magnesium stearate.","Each 20 mg tablet contains 22 mg of cobimetinib fumarate, which corresponds to 20 mg of the cobimetinib free base. The inactive ingredients of COTELLIC are: Tablet Core: microcrystalline cellulose, lactose monohydrate, croscarmellose sodium, magnesium stearate.",Cotellic is given in a 28-day treatment cycle. You may need to use the medicine only during the first 21 days of each cycle. Your doctor will determine how long to treat you with cobimetinib. Do not change your doses or medication schedule without your doctor's advice.,"White, round film-coated tablets of approximately 6.6 mm diameter, with “COB” debossed on one side. Cotellic is indicated for use in combination with vemurafenib for the treatment of adult patients with unresectable or metastatic melanoma with a BRAF V600 mutation (see sections 4.4 and 5.1).",0,
7,TrinityHealth CardioPro,TrinityHealth CardioPro,TRNTY-00005,60 Capsules per Bottle,public/product-images-uat/oEL9bBzUjQIspqNz6OGqTy5E3UNn82AYhMmIhnjm.png,1,0,1990,100,10,<p>Extract Tomato and Coenzym Q10</p>,<p>ghgh</p>,<p>1 - 2 Capsules per day</p>,<p>Help to maintain healthy blood flow and may benefit blood circulation</p>,0,
2,Diabetasol,Generic,Diabetasol,1000g,public/products-uat/5dc8c28f72cdeiPIjppQl7Yb0aT1J29MghotRVUhjrakJPoVYq0Z9.jpg,1,0,1100,50,20,<p>abdd</p>,<p>dedf</p>,<p>hjjk</p>,<p>fghh</p>,0,
2,Sample,Sample,Sample,10mm,public/products-uat/5dd22a6429db94sc89io6uBHorD7JOAEpFUqqasjnOlCAzQucPprj.png,1,0,200,10,10,<p>Sample</p>,<p>Sample</p>,<p>Sample</p>,<p>Sample</p>,0,
1,Test Product,Test,Tes001,10 ml,public/products-uat/5dddd777624e3Tpi9ThrB4jgL4YLAaWKLfC3K1RUCxnBRcQAVdLnL.png,0,0,100,100,0,<p>Sample product only</p>,<p>Test</p>,<p>Test</p>,<p>Test</p>,1,
2,TrinityHealth CardioPro,TrinityHealth CardioPro,TRNTY-00005,60 Capsules per Bottle,public/products-uat/5dfb1531eae3aNxyki5rz1hkXyQpGtkHDLhBbCxHhns3wfESTa1sB.jfif,1,0,1990,100,10,<p>Extract Tomato and Coenzym Q10</p>,<p>ghgh</p>,<p>1 - 2 Capsules per day</p>,<p>Help to maintain healthy blood flow and may benefit blood</p>,0,
4,LadyBalance,LadyBalance,Vaginal tablets,12's,public/products-uat/5e3b5140192110faMz1ctDPafKW817bSo0EH8NVDriiDb6U8POzaN.png,1,0,1300,50,81,"<p>Content: Lactose monohydrate, magnesium stearate and silicium dioxide&nbsp;</p>","<p>• LadyBalance® &nbsp;is a novel prebiotc product for women who want to feel intmately fresh and confident&nbsp;</p><p>• LadyBalance® restores natural vaginal pH to reduce dryness, itching, irritaton and soreness, and unpleasant odour and discharge</p><p>• LadyBalance® maintains a healthy vaginal balance , giving women the freedom to enjoy a more actve sex life&nbsp;</p><p>• LadyBalance® is simple to use and without mess&nbsp;<br>&nbsp;</p>","<p>• Initial treatment – 1 vaginal tablet daily untl symptoms improve • Usually 1 week for BV, unpleasant vaginal odour and discharge • Approximately 2 weeks for vaginal dryness, itching, irritaton and soreness&nbsp;<br>• Maintenance &amp; preventon – 1 vaginal tablet on alternate days</p>","<p>LadyBalance is a novel prebiotc product for women who want to feel intimately fresh and confident. It restores natural vaginal pH to reduce dryness, itching, irritation, soreness, unpleasant odor and discharge. It maintains a healthy vaginal balance , giving women the freedom to enjoy a more active sex life. Simple to use and without mess.<br>&nbsp;</p>",0,
